PHRASE,ADDITIONAL STANDARD,TYPE,DISEASE
coupon prices,coupon,card+,
coupon provider,coupon,card+,
deal-finding services,coupon,card+,
list manufacturer coupons,coupon,card+,
pharmacy coupon,coupon,card+,
price lookup,coupon,card+,
proair coupon,coupon,card+,
protonix coupon,coupon,card+,
qualifying items,coupon,card+,
referral coupons,coupon,card+,
discount card,discount card,card+,
discount cards,discount card,card+,
discount program,discount card,card+,
discount programs,discount card,card+,
discount providers,discount card,card+,
discount services,discount card,card+,
discout,discount card,card+,
insulin discount program,discount card,card+,
medication discount,discount card,card+,
medication discount card,discount card,card+,
membership discount programs,discount card,card+,
pharmacy discount cards,discount card,card+,
pharmacy discount programs,discount card,card+,
premium savings program,discount card,card+,
prescription discounts,discount card,card+,
prescription program,discount card,card+,
prescriptions discounts,discount card,card+,
rebate system,discount card,card+,
referral discount,discount card,card+,
referral program,discount card,card+,
rx coupon,discount card,card+,
rx discount,discount card,card+,
rx discounts,discount card,card+,
savings card monitor,discount card,card+,
derek goodrx gold,goodrx,card+,
card,health card,card+,
card information,health card,card+,
cards,health card,card+,
club prices,health card,card+,
copay cards,health card,card+,
cvs caremark plan,health card,card+,
rx card,health card,card+,
#savings,health savings,card+,
advantage plan,"health savings, health card",card+,
affiliate program,"health savings, health card",card+,
amzn,"health savings, health card",card+,
patient assistance programs,"health savings, health card",card+,
honey bee,honeybee,card+,
honeybee health,honeybee,card+,
honeybee health owner,honeybee,card+,
honeybee health pharmacy,honeybee,card+,
honeybee pharmacist,honeybee,card+,
honeybee pharmacists,honeybee,card+,
honeybee pharmacist's today,honeybee,card+,
honeybee tip,honeybee,card+,
thanks honeybee health,honeybee,card+,
love pill pack,pillpack,card+,
pill pack genius thing,pillpack,card+,
pillpack schedule,pillpack,card+,
savings club,savings club,card+,
savings club membership,savings club,card+,
savings program,savings club,card+,
savings tips,savings club,card+,
cost saver,,card+,
coupon,,card+,
goodrx,,card+,
health plans,,card+,
healthcare transformers,,card+,
honeybee,,card+,
hoyrx,,card+,
kroger rx,,card+,
cash,cash price,cost,
cash money,cash price,cost,
cash pay,cash price,cost,
cash price,cash price,cost,
cash prices,cash price,cost,
copay-insurance,copay,cost,
c-pay,copay,cost,
day co-pay,copay,cost,
insurance copay,copay,cost,
insurance copays,copay,cost,
copay,"copay, insurance coverage",cost,
cost,cost medication,cost,
cost healthcare,cost medication,cost,
cost information,cost medication,cost,
cost medication,cost medication,cost,
cost medications,cost medication,cost,
cost medications sales,cost medication,cost,
cost reasons,cost medication,cost,
cost/quality options,cost medication,cost,
costs,cost medication,cost,
drive prices,cost medication,cost,
med costs,cost medication,cost,
medication cost,cost medication,cost,
medication costs,cost medication,cost,
medication prices,cost medication,cost,
medications cost,cost medication,cost,
medicine cost,cost medication,cost,
medicine prices,cost medication,cost,
prescription cost,cost medication,cost,
prescription costs,cost medication,cost,
prescription drug costs,cost medication,cost,
prescription drug prices,cost medication,cost,
prescription drug pricing,cost medication,cost,
prescription price,cost medication,cost,
prescription prices,cost medication,cost,
prescription prices way,cost medication,cost,
prescriptions cost,cost medication,cost,
pricing medications,cost medication,cost,
retail pharmacy pricing,cost medication,cost,
retail self-pay prices,cost medication,cost,
rx cost analysis,cost medication,cost,
rx costs,cost medication,cost,
rx plan,cost medication,cost,
rx price,cost medication,cost,
rx prices,cost medication,cost,
deductible,deductible,cost,
deductibles,deductible,cost,
insurance deductibles,deductible,cost,
difference,difference,cost,
differences,difference,cost,
dollar difference,difference,cost,
#drugprices,drug price,cost,
#rx price,drug price,cost,
anxiety medication costs,drug price,cost,
brand name price,drug price,cost,
commercial payments,drug price,cost,
comparison shop,drug price,cost,
competition,drug price,cost,
condition others,drug price,cost,
drug cost,drug price,cost,
drug costs,drug price,cost,
drug list prices,drug price,cost,
drug price,drug price,cost,
drug price information,drug price,Cost,
drug prices,drug price,cost,
drug pricing,drug price,cost,
drug pricing expert,drug price,cost,
drug pricing today,drug price,cost,
drugs cost,drug price,cost,
drugs prices,drug price,cost,
name drug prices,drug price,cost,
price prescription drugs,drug price,cost,
specialty drug prices,drug price,cost,
specialty drugs cost,drug price,cost,
specialty medication price,drug price,cost,
cancer drug prices,"drug price, cancer",cost,
ins costs,"drug price, insulin",cost,
insulin prices,"drug price, insulin",cost,
expense,expense,cost,
expenses,expense,cost,
health care cost,health costs,cost,
health costs,health costs,cost,
healthcare cost,health costs,cost,
healthcare costs,health costs,cost,
healthcare expenses,health costs,cost,
healthcare prices,health costs,cost,
healthcare quality cost,health costs,cost,
hospital bills,health costs,cost,
hospital funds,health costs,cost,
inflation,health costs,cost,
patients money,health costs,cost,
treatment costs,health costs,cost,
hsa,health savings,cost,
healthcare cost,healthcare cost,cost,
pocket healthcare costs,healthcare cost,cost,
income,income,cost,
incomes,income,cost,
insurance coverage,insurance coverage,cost,
bill,insurance price,cost,
bill insurance,insurance price,cost,
billing,insurance price,cost,
insurance company price,insurance price,cost,
insurance design model,insurance price,cost,
insurance prices,insurance price,cost,
medicare billing,insurance price,cost,
medicare drug costs,insurance price,cost,
pharmacy costs,pharmacy costs,cost,
pharmacy prices,pharmacy costs,cost,
pharmacy pricing,pharmacy costs,cost,
pharmacy reimbursement,pharmacy costs,cost,
rx cost,pharmacy costs,cost,
price alert,price,cost,
price comparisons,price,cost,
price controls,price,cost,
price data,price,cost,
price information,price,cost,
price options,price,cost,
price quote,price,cost,
price tag,price,cost,
prices today,price,cost,
prices update,price,cost,
pricing,price,cost,
pricing info,price,cost,
price comparison shopping,price,cost,
copay,copay,cost-,
co-pay,copay,cost-,
copay clawbacks,copay,cost-,
co-pay money,copay,cost-,
copays,copay,cost-,
co-pays,copay,cost-,
med copay,copay,cost-,
medical bills,cost medication,cost-,
overpayments,cost medication,cost-,
prescription costs,cost medication,cost-,
prescription drug cartels,cost medication,cost-,
price bumps,cost medication,cost-,
retail price,cost medication,cost-,
cost difference,difference,cost-,
coverage gap,difference,cost-,
coverage gaps,difference,cost-,
gap coverage,difference,cost-,
pocket costs,difference,cost-,
pocket expense,difference,cost-,
pocket expenses,difference,cost-,
price difference,difference,cost-,
drug hikes,drug price,cost-,
drug lobby,drug price,cost-,
drug price hikes,drug price,cost-,
drug prices drug price hikes,drug price,cost-,
high drug cost,drug price,cost-,
high drug costs,drug price,cost-,
higher cost,drug price,cost-,
insulin cost,"drug price, insulin",cost-,
#healthcare costs,health costs,cost-,
health care prices,health costs,cost-,
patient costs,health costs,cost-,
cost barriers,insurance limits,cost-,
middle man,middleman,cost-,
middleman,middleman,cost-,
middlemen,middleman,cost-,
middle-men,middleman,cost-,
middlemen profit,middleman,cost-,
pharmas drug price stranglehold,pharmacy costs,cost-,
prescription sticker shock,price hike,cost-,
price hike controversy,price hike,cost-,
price hikes,price hike,cost-,
price increase,price hike,cost-,
price madness,price hike,cost-,
price-fixing,price hike,cost-,
pricing variations,price hike,cost-,
rip-off,price hike,cost-,
rise,price hike,cost-,
rob americans,price hike,cost-,
rx price nightmares,price hike,cost-,
price gouging,price hike,cost-,
insulin costs,"cost medication, insulin",cost- ,
#blinksavings,blinkhealth,cost+,
blink price,blinkhealth,cost+,
cheapprescriptions,cost medication,cost+,
deal price,cost saver,cost+,
discount prices,cost saver,cost+,
discounts,cost saver,cost+,
discounts,cost saver,cost+,
discounts/rebates,cost saver,cost+,
drug price relief,cost saver,cost+,
drug savings programs,cost saver,cost+,
drug-discount website,cost saver,cost+,
low drug cost,cost saver,cost+,
low drug costs,cost saver,cost+,
lower cost,cost saver,cost+,
lower drug cost,cost saver,cost+,
lower drug costs,cost saver,cost+,
medication cost savings opportunities,cost saver,cost+,
medication savings,cost saver,cost+,
price cuts,cost saver,cost+,
price drop,cost saver,cost+,
price match,cost saver,cost+,
promo,cost saver,cost+,
promotion,cost saver,cost+,
promotions,cost saver,cost+,
rebate,cost saver,cost+,
rebates,cost saver,cost+,
rebates,cost saver,cost+,
refund,cost saver,cost+,
refundable,cost saver,cost+,
reimbursement,cost saver,cost+,
save,cost saver,cost+,
saved,cost saver,cost+,
saving,cost saver,cost+,
savings,cost saver,cost+,
savings options,cost saver,cost+,
savings programs,cost saver,cost+,
savings tip,cost saver,cost+,
savings tips,cost saver,cost+,
savings tips page,cost saver,cost+,
coupon,coupon,cost+,
coupon app,coupon,cost+,
coupons,coupon,cost+,
manufacturer coupons,coupon,cost+,
prescription coupon,coupon,cost+,
rx coupon tl,coupon,cost+,
coupon voteblink,"coupon, blinkhealth",cost+,
#healthsavingsaccount funds,health savings,cost+,
#savings story,health savings,cost+,
affordability,health savings,cost+,
health deals,health savings,cost+,
health savings account,health savings,cost+,
quality transparency healthcare costs,transparency,cost+,
blink user,blinkhealth,customers+,
blink users,blinkhealth,customers+,
client,client,customers+,
clients,client,customers+,
consumer power,client,customers+,
consumers,client,customers+,
customer,client,customers+,
customer data,client,customers+,
customers,client,customers+,
enrollees,client,customers+,
member,client,customers+,
members,client,customers+,
membership,client,customers+,
acid reflux,,disease,
acne,,disease,
addiction,,disease,
adhd,,disease,
aids,,disease,
hiv,aids,disease,
allergies,allergy,disease,
drug allergies,allergy,disease,
winter allergies,allergy,disease,
alzheimer,alzheimers,disease,
autism spectrum,autism,disease,
blood disorder,blood disease,disease,
breastcancer,breast cancer,disease,
breastcancer,breast cancer,disease,
cancers,cancer,disease,
lymphoma,cancer,disease,
chicken pox,chickenpox,disease,
chroniccondition,chroniccondition,disease,
chronicfatiguesyndrome,chroniccondition,disease,
congenitaldiease,congenital diease,disease,
dementias,dementia,disease,
depression,depression,disease,
control blood sugar,diabetes,disease,
diabetes,diabetes,disease,
diabetics,diabetes,disease,
prediabetes,diabetes,disease,
pre-diabetes,diabetes,disease,
type2diabetes,diabetes,disease,
disabilitie problems,disability,disease,
disability,disability,disease,
disability inclusion,disability,disease,
ear infections,ear infection,disease,
eye condition,eye condition,disease,
eye-related,eye condition,disease,
sight-challenged,eye condition,disease,
chronicfatiguesyndrome,fatigue syndrome,disease,
flu,flu,disease,
tamiflu,flu,disease,
tamiflu prescriptions,flu,disease,
yamagata,flu,disease,
deafness,hearing disability,disease,
a- fib,heart disease,disease,
heart attack,heart disease,disease,
heart condition,heart disease,disease,
heart disease,heart disease,disease,
heart disease risk,heart disease,disease,
heart failure,heart disease,disease,
heart failure patients,heart disease,disease,
heart issues,heart disease,disease,
heart problems,heart disease,disease,
stroke,heart disease,disease,
hiv-infection,"hiv, aids",disease,
crohns,ileitis,disease,
infections,infection,disease,
kidney damage,kidney disease,disease,
kidney disease,kidney disease,disease,
kidney failure,kidney disease,disease,
hepatitis,liver disease,disease,
liver disease,liver disease,disease,
liver injuries,liver disease,disease,
liver issues,liver disease,disease,
copd,lung condition,disease,
fibrosis,lung condition,disease,
mmr,measles,disease,
memory issues,mental health,disease,
memory-related disease,mental health,disease,
mentalhealth,mental health,disease,
mentalillness,mental health,disease,
migraines,migraine,disease,
multiplesclerosis,multiple sclerosis,disease,
night terrors,nightmare,disease,
childhood obesity,obesity,disease,
pain management,pain,disease,
pain relief,pain,disease,
pain-related issues,pain,disease,
polio,polio,disease,
plaque psoriasis,psoriasis,disease,
fibroids,reproductive system,disease,
sciatica,sciatica,disease,
cpap,sleep apnea,disease,
sleep apnea,sleep apnea,disease,
herpes,std,disease,
yeast infection,std,disease,
hypothyroidism,thyroid,disease,
viruses,virus,disease,
ailments,,disease,
albinism,,disease,
allergy,,disease,
als,,disease,
amputee,,disease,
anemia,,disease,
anxiety,,disease,
artery disease,,disease,
arthritis,,disease,
asthma,,disease,
autism,,disease,
back pain,,disease,
bacteria,,disease,
birth control,,disease,
blindness,,disease,
blood disease,,disease,
blood pressure,,disease,
blounts,,disease,
bone marrow,,disease,
bowel disease,,disease,
brain cancer,,disease,
brain damage,,disease,
brain injury,,disease,
brain tumor,,disease,
breast cancer,,disease,
bronchitis,,disease,
bruises,,disease,
bulimia,,disease,
burn,,disease,
cancer,,disease,
chest pain,,disease,
chickenpox,,disease,
cholesterol,,disease,
chronicillness,,disease,
colitis,,disease,
common virus,,disease,
coughing,,disease,
dementia,,disease,
downsyndrome,,disease,
drug overdose,,disease,
dyslexia,,disease,
ear infection,,disease,
endometriosis,,disease,
epidemic,,disease,
epilepsy,,disease,
fatigue syndrome,,disease,
gerd,,disease,
gout,,disease,
head injury,,disease,
hearing disability,,disease,
hip fracture,,disease,
hypertension,,disease,
hypoglycemia,,disease,
hypogonadism,,disease,
hysterectomy,,disease,
illness,,disease,
infection,,disease,
infertility,,disease,
influenza,,disease,
injuries,,disease,
insomnia,,disease,
lupus,,disease,
lyme,,disease,
measles,,disease,
menopause treatment,,disease,
mental health,,disease,
migraine,,disease,
motion sickness,,disease,
neck pain,,disease,
nerve damage,,disease,
nightmare,,disease,
obesity,,disease,
orthotics,,disease,
osteoporosis,,disease,
outbreak,,disease,
ovary syndrome,,disease,
pain,,disease,
palsy,,disease,
paralysis,,disease,
parkinsons,,disease,
pba,,disease,
pcos,,disease,
pneumonia,,disease,
polycystic ovary syndrome,,disease,
post-nasal,,disease,
postpartum,,disease,
pox,,disease,
pregnancy,,disease,
psoriasis,,disease,
quadriplegic,,disease,
rheumatoid,,disease,
rosacea,,disease,
salmonella,,disease,
schizophrenia,,disease,
sciatica pain,,disease,
sclerosis,,disease,
scoliosis,,disease,
seizures,,disease,
sepsis,,disease,
shingles,,disease,
sicklecellanemia,,disease,
sinus infections,,disease,
skin cancer,,disease,
skin condition,,disease,
skin infections,,disease,
sniffles,,disease,
sores,,disease,
spinabifida,,disease,
stage,,disease,
strains,,disease,
stutter,,disease,
substance abuse,,disease,
sunburn,,disease,
syndrome,,disease,
tetnay,,disease,
tooth infections,,disease,
tourettes,,disease,
tumor,,disease,
uti,,disease,
vaginosis,,disease,
vertigo,,disease,
virus,,disease,
consumers health,consumer health,health,
diet changes,diet,health,
athlete,exercise,health,
sport,exercise,health,
snacks,food,health,
#healthcare,healthcare,health,
healthcare advocates,healthcare,health,
healthcare analytics,healthcare,health,
healthcare landscape,healthcare,health,
healthcare nerds,healthcare,health,
healthcare stakeholder triangle,healthcare,health,
healthcare tech,healthcare,health,
healthcare transformer,healthcare,health,
aging,,health,
blood donation,,health,
consumer health,,health,
drug test,,health,
gut health,,health,
healers,,health,
health,,health,
health information,,health,
life expectancy,,health,
memory bracelets,,health,
sunlight,,health,
weight,,health,
wellbeing,,health,
beer,alcohol,health-,
worry,anxiety,health-,
withdrawals,depression,health-,
disabilities,disability,health-,
wheelchair,disability,health-,
inactivity,exercise,health-,
stress,mental health,health-,
medication side effects,side effects,health-,
alcohol,,health-,
complications,,health-,
death,,health-,
disability,,health-,
effectiveness concerns,,health-,
germs,,health-,
killer,,health-,
mobility issues,,health-,
side effects,,health-,
substances,,health-,
cures,cure,health+,
diet,diet,health+,
diets,diet,health+,
athletes,exercise,health+,
cycling,exercise,health+,
exercise,exercise,health+,
fitness,exercise,health+,
fitness resolutions,exercise,health+,
gym,exercise,health+,
power soccer,exercise,health+,
sports,exercise,health+,
triathlete,exercise,health+,
walk,exercise,health+,
weightlifting,exercise,health+,
workout,exercise,health+,
goals,goal,health+,
honey,honeybee,health+,
#therapy,therapy,health+,
weight loss medication contrave,weight loss,health+,
weight loss meds,weight loss,health+,
weight loss options,weight loss,health+,
#meditation,yoga,health+,
#yoga,yoga,health+,
meditation,yoga,health+,
beauty,,health+,
bed rest,,health+,
benefit,,health+,
bionic,,health+,
blessing,,health+,
comedians,,health+,
cure,,health+,
dream,,health+,
fight,,health+,
fishing,,health+,
goal,,health+,
healing,,health+,
healing power,,health+,
healthcare disrupters,,health+,
honesty,,health+,
hospital art,,health+,
hug,,health+,
invincibility,,health+,
life saver,,health+,
lifestyle,,health+,
longevity,,health+,
music healer,,health+,
positivity,,health+,
recovery,,health+,
relief,,health+,
roses,,health+,
self-care,,health+,
self-worth,,health+,
step therapy,,health+,
survival,,health+,
therapies,,health+,
wellness issue,,health+,
work/life balance,,health+,
clinics,clinic,hospital,
hospitalization,hospital,hospital,
hospitals,hospital,hospital,
inpatient,hospital,hospital,
outpatient,hospital,hospital,
banner health,,hospital,
clinic,,hospital,
condition management programs,,hospital,
consultations,,hospital,
day facility,,hospital,
diagnostic tool,,hospital,
ehr,,hospital,
er,,hospital,
hospital,,hospital,
manager,,hospital,
paramedics,,hospital,
people choices,,hospital,
revenue streams,,hospital,
team members,,hospital,
upmc,,hospital,
asthma inhalers,asthma inhaler,inhaler,"asthma, copd"
breath-actuated,asthma inhaler,inhaler,"asthma, copd"
diskus,asthma inhaler,inhaler,"asthma, copd"
ellipta inhaler,asthma inhaler,inhaler,"asthma, copd"
inhalation,asthma inhaler,inhaler,"asthma, copd"
inhaler,asthma inhaler,inhaler,"asthma, copd"
inhaler,asthma inhaler,inhaler,"asthma, copd"
inhalers,asthma inhaler,inhaler,"asthma, copd"
rescue inhalers,asthma inhaler,inhaler,"asthma, copd"
russ,asthma inhaler,inhaler,"asthma, copd"
russ inhaler,asthma inhaler,inhaler,"asthma, copd"
ventolin,asthma inhaler,inhaler,"asthma, copd"
asthma inhaler,,inhaler,"asthma, copd"
cross/blueshied,"Blue Cross, Blue Shield, insurance company",insurance,
cross,"Blue Cross, insurance company",insurance,
blueshied,"Blue Shield, insurance company",insurance,
contraception insurance coverage,"contraception, insurance coverage",insurance,
insurance co-pay,"copay, insurance coverage",insurance,
aetna,insurance company,insurance,
aviva,insurance company,insurance,
bfs insurance limits,insurance company,insurance,
Blue Cross,insurance company,insurance,
Blue Shield,insurance company,insurance,
cigna,insurance company,insurance,
cms,insurance company,insurance,
freedom health care,insurance company,insurance,
health insurer,insurance company,insurance,
humana,insurance company,insurance,
iehp,insurance company,insurance,
insurance companies,insurance company,insurance,
insurance companies,insurance company,insurance,
insurance corporations,insurance company,insurance,
insurance giants,insurance company,insurance,
insurance industry,insurance company,insurance,
insurance provider,insurance company,insurance,
insurance providers,insurance company,insurance,
insurer,insurance company,insurance,
kaiser,insurance company,insurance,
mercy,insurance company,insurance,
mica,insurance company,insurance,
insurance deductible,"insurance company, deductible",insurance,
care plans,insurance coverage,insurance,
coverage,insurance coverage,insurance,
coverage networks,insurance coverage,insurance,
coverage sitch,insurance coverage,insurance,
drug coverage,insurance coverage,insurance,
drug plan,insurance coverage,insurance,
employee drug benefits plans,insurance coverage,insurance,
employee insurance plans,insurance coverage,insurance,
employee plans,insurance coverage,insurance,
employer plans,insurance coverage,insurance,
enrollment period,insurance coverage,insurance,
government health plan,insurance coverage,insurance,
health coverage,insurance coverage,insurance,
health insurance,insurance coverage,insurance,
health plan,insurance coverage,insurance,
healthcare options,insurance coverage,insurance,
hhs,insurance coverage,insurance,
ins,insurance coverage,insurance,
insurance,insurance coverage,insurance,
insurance benefits,insurance coverage,insurance,
insurance information,insurance coverage,insurance,
insurance pharmacy gag clauses,insurance coverage,insurance,
insurance plan,insurance coverage,insurance,
insurance premiums,insurance coverage,insurance,
insurance status,insurance coverage,insurance,
insurance terminology,insurance coverage,insurance,
medicare,insurance coverage,insurance,
medication compliance,insurance coverage,insurance,
obamacare,insurance coverage,insurance,
obamacare,insurance coverage,insurance,
parents insurance,insurance coverage,insurance,
policy changes,insurance coverage,insurance,
premiums,insurance coverage,insurance,
prescription coverage,insurance coverage,insurance,
prescription coverage policy,insurance coverage,insurance,
prescription drug coverage],insurance coverage,insurance,
prescription ins,insurance coverage,insurance,
prescription insurance,insurance coverage,insurance,
quantity limits,insurance coverage,insurance,
insurance plans,"insurance coverage, insurance plan",insurance,
pension retirement program/plan,"insurance coverage, insurance plan",insurance,
employer health plans,insurance plan,insurance,
pharmacy plan,insurance plan,insurance,
plans,insurance plan,insurance,
platinum plans,"insurance plan, insurance company",insurance,
medicaid,"medicaid, insurance coverage",insurance,
medicaid/molina,"medicaid, insurance coverage",insurance,
medication options,"medicaid, insurance coverage",insurance,
state medicaid,"medicaid, insurance coverage",insurance,
state medicaid plans,"medicaid, insurance coverage",insurance,
advantage beneficiaries,"medicare, insurance coverage",insurance,
advantage enrollment window,"medicare, insurance coverage",insurance,
medicare,"medicare, insurance coverage",insurance,
medicare advantage plan,"medicare, insurance coverage",insurance,
medicare benefit,"medicare, insurance coverage",insurance,
medicare card,"medicare, insurance coverage",insurance,
medicare cards,"medicare, insurance coverage",insurance,
medicare drug company,"medicare, insurance coverage",insurance,
medicare insurance,"medicare, insurance coverage",insurance,
medicare plan,"medicare, insurance coverage",insurance,
medicare system,"medicare, insurance coverage",insurance,
medicare/medicaid,"medicare, medicaid, insurance coverage",insurance,
insurance,,insurance,
insurance coverage,,insurance,
insurance- cost,insurance coverage,insurance-,
insurance payments,insurance coverage,insurance-,
bfs insurance limits,"insurance limits, insurance coverage",insurance-,
coverage restrictions,"insurance limits, insurance coverage",insurance-,
denial,"insurance limits, insurance coverage",insurance-,
insurance troubles,"insurance limits, insurance coverage",insurance-,
non coverage,"insurance limits, insurance coverage",insurance-,
prescription quantity limits,"insurance limits, insurance coverage",insurance-,
refusal,"insurance limits, insurance coverage",insurance-,
antibiotic,antibiotic,medication,infection
antibiotic overuse,antibiotic,medication,infection
antibiotic resistance,antibiotic,medication,infection
antibiotics,antibiotic,medication,infection
doxycycline,antibiotic,medication,infection
anticoagulant drugs,anticoagulant,medication,blood thinners
anticoagulant medications,anticoagulant,medication,blood thinners
anticoagulants,anticoagulant,medication,blood thinners
birthcontrol,birth control,medication,
blood pressure drug,blood pressure drug,medication,"heart disease, hypertension"
blood pressure drugs,blood pressure drug,medication,"heart disease, hypertension"
blood pressure drugs stack,blood pressure drug,medication,"heart disease, hypertension"
blood pressure medication,blood pressure drug,medication,"heart disease, hypertension"
blood pressure medications,blood pressure drug,medication,"heart disease, hypertension"
blood pressure medicine,blood pressure drug,medication,"heart disease, hypertension"
blood pressure meds,blood pressure drug,medication,"heart disease, hypertension"
blood pressure pills,blood pressure drug,medication,"heart disease, hypertension"
brand drug,brand-name,medication,
brand drugs,brand-name,medication,
brand equivalent,brand-name,medication,
brand name drug,brand-name,medication,
brand name drugs,brand-name,medication,
brand name listing,brand-name,medication,
brand name medication,brand-name,medication,
brands,brand-name,medication,
name brand,brand-name,medication,
name drugs,brand-name,medication,
name medications,brand-name,medication,
name meds,brand-name,medication,
drug combination,combination meds,medication,
dosage,dosage,medication,
epi-pen,epipen,medication,"asthma, copd"
prescription eyedrops,eyedrops,medication,
doctor-recommended alternatives,generic,medication,
equivalent drug,generic,medication,
generics,generic,medication,
glucose monitors,glucose monitor,medication,diabetes
admelog,insulin,medication,diabetes
humalog,insulin,medication,diabetes
injection pen,insulin,medication,diabetes
injection process,insulin,medication,diabetes
insulin,insulin,medication,diabetes
insulin pens,insulin,medication,diabetes
insulins,insulin,medication,diabetes
lispro,insulin,medication,diabetes
novolog,insulin,medication,diabetes
keppra er,keppra,medication,seizures
medications,medication,medication,
medication's,medication,medication,
medicine,medication,medication,
medicines,medication,medication,
meds,medication,medication,
meds/pills,medication,medication,
prescriptiondrugs,medication,medication,
therapeutics,medication,medication,
vial,medication,medication,
day med supply,medication supply,medication,
day supplies,medication supply,medication,
day supply,medication supply,medication,
med pack,"medication, pill pack",medication,
relaxant,muscle relaxant,medication,anxiety 
relaxants,muscle relaxant,medication,anxiety
relaxer,muscle relaxant,medication,muscle relaxant
robaxin,muscle relaxant,medication,
non-insulin diabetes drugs work,non-insulin,medication,diabetes
counter medications,otc,medication,
counter meds,otc,medication,
rx's,"prescription, rx",medication,
proton pump inhibitors,proton-pump inhibitors,medication,
rosacea treatment,rosacea,medication,rosacea
rosacea treatments,rosacea,medication,
shingles shot,shingles vaccine,medication,"shingles, vaccine"
shingles vaccine,shingles vaccine,medication,"shingles, vaccine"
shingles vaccines,shingles vaccine,medication,"shingles, vaccine"
shingrix,shingles vaccine,medication,"shingles, vaccine"
drug side effects,side effects,medication,
specialty drugs-,specialty drugs,medication,
specialty drugs designation,specialty drugs,medication,
specialty medications,specialty drugs,medication,
acetaminophen,,medication,pain
acid-suppressive,,medication,ulcers
actos,,medication,diabetes
acyclovir,,medication,virus
adderall,,medication,attention deficit
advil,,medication,inflamation
albuterol,,medication,bronchospasm
allergy med,,medication,allergy
allergy medication,,medication,allergy
allergy medication prescriptions,,medication,allergy
allergy medications,,medication,allergy
allergy meds,,medication,allergy
allergy prescriptions,,medication,allergy
allergy relief aisle,,medication,allergy
allergy relief med,,medication,allergy
allergy relief meds,,medication,allergy
allergy relief options,,medication,allergy
allergy reliever,,medication,allergy
allergy reliever zyrtec,,medication,allergy
ambien,,medication,insomnia
amiodorone,,medication,heart disease
amlodipine,,medication,"heart disease, hypertension"
amoxicillin,,medication,infection
anemia drugs,,medication,anemia
anti migraine medicine,,medication,migraine
anticoagulant,,medication,blood thinners
antidepressant,,medication,antidepressant
antidepressant,,medication,antidepressant
antidepressant meds,,medication,antidepressant
antidepressants,,medication,antidepressant
anti-epileptic,,medication,"pain, seizures"
antihistamine,,medication,allergy
antihistamines,,medication,allergy
anxiety medication,,medication,anxiety
anxiety medications,,medication,anxiety
anxiety meds,,medication,anxiety
arikayce,,medication,infection
aspirin,,medication,inflammation
asthma drug qvar,,medication,asthma
asthma inhaler ventolin hfa,,medication,asthma
asthma medication,,medication,
asthma medications,,medication,"asthma, copd"
asthma meds,,medication,asthma
asthma meds,,medication,"asthma, copd"
asthma prescriptions,,medication,"asthma, copd"
asthma relief,,medication,"asthma, copd"
asthma treatment qvar,,medication,asthma
astrid,,medication,eating disorder
atorvastatin,,medication,cholesterol 
benadryl,,medication,allergy
benzodiazepines,,medication,
beta blocker,,medication,"heart disease, hypertension"
beta blockers,,medication,"heart disease, hypertension"
beta-blockers,,medication,"heart disease, hypertension"
birth,,medication,
